Short Title,Title,issn,eISSN,Funding (TL),Year,Impact Factor,SCI,SSCI,AHCI,Source
CA-CANCER J CLIN,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,50000,2025,80.147,TRUE,FALSE,FALSE,
NAT REV MOL CELL BIO,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,1471-0080,50000,2025,42.404,TRUE,FALSE,FALSE,
NEW ENGL J MED,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,50000,2025,41.613,TRUE,FALSE,FALSE,
LANCET,LANCET,0140-6736,1474-547X,50000,2025,39.056,TRUE,FALSE,FALSE,
NAT REV DRUG DISCOV,NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784,50000,2025,37.029,TRUE,FALSE,FALSE,
MMWR RECOMM REP,MMWR Recommendations and Reports,1057-5987,1545-8601,50000,2025,29.983,TRUE,FALSE,FALSE,
NAT REV DIS PRIMERS,Nature Reviews Disease Primers,2056-676X,2056-676X,50000,2025,29.307,TRUE,FALSE,FALSE,
Q J ECON,QUARTERLY JOURNAL OF ECONOMICS,0033-5533,1531-4650,50000,2025,28.515,FALSE,TRUE,FALSE,
NAT BIOTECHNOL,NATURE BIOTECHNOLOGY,1087-0156,1546-1696,50000,2025,27.963,TRUE,FALSE,FALSE,
JAMA-J AM MED ASSOC,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,50000,2025,27.951,TRUE,FALSE,FALSE,
NAT REV CLIN ONCOL,Nature Reviews Clinical Oncology,1759-4774,1759-4782,50000,2025,27.896,TRUE,FALSE,FALSE,
NAT REV IMMUNOL,NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741,50000,2025,27.871,TRUE,FALSE,FALSE,
NAT REV CANCER,NATURE REVIEWS CANCER,1474-175X,1474-1768,50000,2025,26.991,TRUE,FALSE,FALSE,
NAT MED,NATURE MEDICINE,1078-8956,1546-170X,50000,2025,25.987,TRUE,FALSE,FALSE,
NAT REV MATER,Nature Reviews Materials,2058-8437,2058-8437,50000,2025,25.748,TRUE,FALSE,FALSE,
BMJ-BRIT MED J,BMJ-British Medical Journal,0959-535X,1756-1833,50000,2025,25.687,TRUE,FALSE,FALSE,
NATURE,NATURE,0028-0836,1476-4687,50000,2025,24.765,TRUE,FALSE,FALSE,
NAT METHODS,NATURE METHODS,1548-7091,1548-7105,50000,2025,24.681,TRUE,FALSE,FALSE,
NAT REV GENET,NATURE REVIEWS GENETICS,1471-0056,1471-0064,50000,2025,24.407,TRUE,FALSE,FALSE,
CELL,CELL,0092-8674,1097-4172,50000,2025,24.256,TRUE,FALSE,FALSE,
NAT REV MICROBIOL,NATURE REVIEWS MICROBIOLOGY,1740-1526,1740-1534,50000,2025,24.131,TRUE,FALSE,FALSE,
REV MOD PHYS,REVIEWS OF MODERN PHYSICS,0034-6861,1539-0756,50000,2025,22.178,TRUE,FALSE,FALSE,
SCIENCE,SCIENCE,0036-8075,1095-9203,50000,2025,21.937,TRUE,FALSE,FALSE,
NAT GENET,NATURE GENETICS,1061-4036,1546-1718,50000,2025,20.166,TRUE,FALSE,FALSE,
NAT REV GASTRO HEPAT,Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,50000,2025,19.414,TRUE,FALSE,FALSE,
NAT ENERGY,Nature Energy,2058-7546,2058-7546,50000,2025,19.301,TRUE,FALSE,FALSE,
WORLD PSYCHIATRY,World Psychiatry,1723-8617,2051-5545,50000,2025,18.788,TRUE,TRUE,FALSE,
AM ECON REV,AMERICAN ECONOMIC REVIEW,0002-8282,1944-7981,50000,2025,18.689,FALSE,TRUE,FALSE,
NAT REV EARTH ENV,Nature Reviews Earth & Environment,,2662-138X,50000,2025,18.661,TRUE,FALSE,FALSE,
CANCER CELL,CANCER CELL,1535-6108,1878-3686,50000,2025,18.057,TRUE,FALSE,FALSE,
LANCET ONCOL,LANCET ONCOLOGY,1470-2045,1474-5488,50000,2025,17.988,TRUE,FALSE,FALSE,
LANCET NEUROL,LANCET NEUROLOGY,1474-4422,1474-4465,50000,2025,17.709,TRUE,FALSE,FALSE,
NAT REV PHYS,Nature Reviews Physics,,2522-5820,50000,2025,17.684,TRUE,FALSE,FALSE,
ADV PHYS,ADVANCES IN PHYSICS,0001-8732,1460-6976,50000,2025,17.361,TRUE,FALSE,FALSE,
ANNU REV ASTRON ASTR,Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282,50000,2025,17.28,TRUE,FALSE,FALSE,
NAT REV NEUROSCI,NATURE REVIEWS NEUROSCIENCE,1471-003X,1471-0048,50000,2025,16.904,TRUE,FALSE,FALSE,
PSYCHOL SCI PUBL INT,Psychological Science in the Public Interest,1529-1006,1539-6053,50000,2025,16.549,FALSE,TRUE,FALSE,
CHEM REV,CHEMICAL REVIEWS,0009-2665,1520-6890,50000,2025,16.012,TRUE,FALSE,FALSE,
J CLIN ONCOL,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,1527-7755,50000,2025,15.553,TRUE,FALSE,FALSE,
LANCET RESP MED,Lancet Respiratory Medicine,2213-2600,N/A,50000,2025,15.375,TRUE,FALSE,FALSE,
LANCET DIABETES ENDO,Lancet Diabetes & Endocrinology,2213-8587,2213-8595,50000,2025,15.367,TRUE,FALSE,FALSE,
MMWR SURVEILL SUMM,MMWR Surveillance Summaries,1545-8636,1545-8636,50000,2025,15.222,TRUE,FALSE,FALSE,
J POLIT ECON,JOURNAL OF POLITICAL ECONOMY,0022-3808,1537-534X,50000,2025,15.169,FALSE,TRUE,FALSE,
LIVING REV RELATIV,Living Reviews in Relativity,2367-3613,1433-8351,50000,2025,15.114,TRUE,FALSE,FALSE,
NAT MATER,NATURE MATERIALS,1476-1122,1476-4660,50000,2025,15.033,TRUE,FALSE,FALSE,
NAT REV NEUROL,Nature Reviews Neurology,1759-4758,1759-4766,50000,2025,15.026,TRUE,FALSE,FALSE,
NAT REV CARDIOL,Nature Reviews Cardiology,1759-5002,1759-5010,50000,2025,14.993,TRUE,FALSE,FALSE,
ANN ONCOL,ANNALS OF ONCOLOGY,0923-7534,1569-8041,50000,2025,14.931,TRUE,FALSE,FALSE,
CANCER DISCOV,Cancer Discovery,2159-8274,2159-8290,50000,2025,14.613,TRUE,FALSE,FALSE,
NAT REV ENDOCRINOL,Nature Reviews Endocrinology,1759-5029,1759-5037,50000,2025,14.576,TRUE,FALSE,FALSE,
IMMUNITY,Immunity,1074-7613,1097-4180,50000,2025,14.552,TRUE,FALSE,FALSE,
NAT CATAL,Nature Catalysis,2520-1158,2520-1158,50000,2025,14.488,TRUE,FALSE,FALSE,
ECONOMETRICA,ECONOMETRICA,0012-9682,1468-0262,50000,2025,14.259,TRUE,TRUE,FALSE,
